web_scraper_order,web_scraper_start_url,categories,categories_href,category_name,category_description,category_emoji_list,category_emoji_list_href,emoji,emoji_name,emoji_description
"1573457137-9475","https://emojipedia.org/","🔣 Symbols","https://emojipedia.org/symbols/","🔣
Symbols","Heart emojis, clocks, arrows, signs and shapes.","◼ Black Medium Square","https://emojipedia.org/black-medium-square/","◼️","Black Medium Square","Black Medium Square was approved as part of Unicode 3.2 in 2002
and added to Emoji 1.0 in 2015."
"1573456861-9364","https://emojipedia.org/","🎌 Flags","https://emojipedia.org/flags/","🎌
Flags","List of country flag emojis. 🇯🇵 🇰🇷 🇩🇪 🇨🇳 🇺🇸 🇫🇷 🇪🇸 🇮🇹 🇷🇺 🇬🇧 Emoji flags are supported on all major platforms except Windows, which displays two-letter country codes instead of emoji flag images.","🇬🇲 Flag: Gambia","https://emojipedia.org/flag-for-gambia/","🇬🇲","🇲 Flag: Gambia","The flag for Gambia, which may show as the letters GM on some platforms.
The Flag: Gambia emoji is a sequence of the 🇬 Regional Indicator Symbol Letter G and 🇲 Regional Indicator Symbol Letter M emojis.
These display as a single emoji on supported platforms.

Flag: Gambia was added to Emoji 1.0 in 2015."
"1573457865-9693","https://emojipedia.org/","🔣 Symbols","https://emojipedia.org/symbols/","🔣
Symbols","Heart emojis, clocks, arrows, signs and shapes.","👁️‍🗨️ Eye in Speech Bubble","https://emojipedia.org/eye-in-speech-bubble/","👁️‍🗨️","️‍🗨️ Eye in Speech Bubble","A speech bubble showing an eye inside. When using text-to-speech on Apple platforms, this emoji is read aloud as: ""Eye in speech bubble representing anti-bullying campaign"". This emoji was released in conjunction with the Ad Council for the I Am A Witness campaign.
The Eye in Speech Bubble emoji is a sequence of the 👁 Eye and 🗨 Left Speech Bubble emojis.
These are combined using a zero width joiner between each character and display as a single emoji on supported platforms.


Eye in Speech Bubble was added to Emoji 2.0 in 2015."
"1573460102-10772","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","😃
Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","🤑 Money-Mouth Face","https://emojipedia.org/money-mouth-face/","🤑","Money-Mouth Face","A yellow face with raised eyebrows, dollar signs for eyes, and an open smile sticking out a tongue styled after a green, dollar banknote. Some platforms depict the dollar-sign eyes in green circles.
Used for a wide range of content dealing with money, including: making money, loving wealth, being or feeling rich, and concepts of success and excellence (e.g., on the money).

Money-Mouth Face was approved as part of Unicode 8.0 in 2015
and added to Emoji 1.0 in 2015."
"1573456796-9334","https://emojipedia.org/","🎌 Flags","https://emojipedia.org/flags/","🎌
Flags","List of country flag emojis. 🇯🇵 🇰🇷 🇩🇪 🇨🇳 🇺🇸 🇫🇷 🇪🇸 🇮🇹 🇷🇺 🇬🇧 Emoji flags are supported on all major platforms except Windows, which displays two-letter country codes instead of emoji flag images.","🇯🇵 Flag: Japan","https://emojipedia.org/flag-for-japan/","🇯🇵","🇵 Flag: Japan","The flag for Japan, which may show as the letters JP on some platforms.
The Flag: Japan emoji is a sequence of the 🇯 Regional Indicator Symbol Letter J and 🇵 Regional Indicator Symbol Letter P emojis.
These display as a single emoji on supported platforms.

Flag: Japan was added to Emoji 1.0 in 2015."
"1573459454-10459","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","😃
Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","👩‍👦 Family: Woman, Boy","https://emojipedia.org/family-woman-boy/","👩‍👦","‍👦 Family: Woman, Boy","The Family: Woman, Boy emoji is a sequence of the 👩 Woman and 👦 Boy emojis.
These are combined using a zero width joiner between each character and display as a single emoji on supported platforms.

Family: Woman, Boy was added to Emoji 4.0 in 2016."
"1573458007-9761","https://emojipedia.org/","💡 Objects","https://emojipedia.org/objects/","💡
Objects","Emojis for household items, celebrations, stationery and miscellaneous objects.","🔏 Locked With Pen","https://emojipedia.org/lock-with-ink-pen/","🔏","Locked With Pen","A locked (closed) padlock with a fountain pen or nib positioned at various angles in front of it. Vendors implement the same design as their 🔒 Locked and the same or similar design as their 🖋️ Fountain Pen or ✒️ Black Nib.
May represent digital certificates in public-key technology. May also have similar applications as 🔒 Locked (privacy, security) and 🖋️ Fountain Pen or ✒️ Black Nib (writing, signing).
Apple’s design previously displayed a nib, Google’s a full pen.
This emoji does not display in page titles on Apple’s Safari web browser, presumably to prevent less reputable sites from pretending to be secure (encrypted using HTTPS).

Locked With Pen was approved as part of Unicode 6.0 in 2010
under the name “Lock With Ink Pen”
and added to Emoji 1.0 in 2015."
"1573458999-10239","https://emojipedia.org/","🐻 Animals & Nature","https://emojipedia.org/nature/","🐻
Animals & Nature","Emojis for animals, nature, and weather.","✨ Sparkles","https://emojipedia.org/sparkles/","✨","Sparkles","The glittering flashes of sparkles. Generally depicted as a cluster of three, yellow four-point stars, with one large sparkle and two small ones to its left or right.
Commonly used to indicate various positive sentiments, including love, happiness, beauty, gratitude, and excitement. May also be used to convey newness or cleanliness.
Not to be confused with ⭐ Star, 🌟 Glowing Star, or 💫 Dizzy, though their applications may overlap.
Microsoft’s sparkles are multicolored, as Twitter’s previously were. Samsung’s sparkles are depicted on a night sky, suggesting firework sparklers.
Twitter's mobile app uses ✨ Sparkles as a button users can tap to toggle between latest and top tweets on their timeline.

Sparkles was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573458939-10211","https://emojipedia.org/","🍔 Food & Drink","https://emojipedia.org/food-drink/","🍔
Food & Drink","Emojis for fruit, vegetables, meals, beverages and utensils.","🥦 Broccoli","https://emojipedia.org/broccoli/","🥦","Broccoli","A rich green, tree-like head or floret of broccoli. 

Broccoli was approved as part of Unicode 10.0 in 2017
and added to Emoji 5.0 in 2017."
"1573460105-10773","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","😃
Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","😝 Squinting Face With Tongue","https://emojipedia.org/face-with-stuck-out-tongue-and-tightly-closed-eyes/","😝","Squinting Face With Tongue","A yellow face with scrunched, X-shaped eyes and a big grin, sticking out its tongue. Often conveys a sense of fun, excitement, playfulness, hilarity, and happiness, as if saying Squee! or Awesome! 
Similar to 😆 Grinning Squinting Face. Generally more exuberant than 😛 Face With Tongue and 😜 Winking Face With Tongue. Samsung previously featured a more sour expression.
Because of its stuck-out tongue, note that this smiley may be applied or interpreted in suggestive ways.

Squinting Face With Tongue was approved as part of Unicode 6.0 in 2010
under the name “Face With Stuck-Out Tongue and Tightly-Closed Eyes”
and added to Emoji 1.0 in 2015."
"1573459607-10533","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","😃
Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","🦹 Supervillain","https://emojipedia.org/supervillain/","🦹","Supervillain","A villain which may be displayed as a man,woman or gender-neutral / gender-inclusive depending on the platform. This base emoji does not specify a gender, but is used to create the emojis for Man Supervillain and Woman Supervillain.
The Superhero is the nemesis of this emoji.

Supervillain was approved as part of Unicode 11.0 in 2018
and added to Emoji 11.0 in 2018.



Copy and paste this emoji:
 
Copy"
"1573458254-9881","https://emojipedia.org/","💡 Objects","https://emojipedia.org/objects/","💡
Objects","Emojis for household items, celebrations, stationery and miscellaneous objects.","🎏 Carp Streamer","https://emojipedia.org/carp-streamer/","🎏","Carp Streamer","Japanese koinobori, decorative, carp-shaped windsocks flown in celebration of Children’s Day on May 5 in Japan. Generally depicted as a blue and red stylized carp fish on a golden pole.
When not applied to Children’s Day, used for various idiosyncratic purposes. SoftBank’s design resembles more traditional koinobori.

Carp Streamer was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573457962-9739","https://emojipedia.org/","💡 Objects","https://emojipedia.org/objects/","💡
Objects","Emojis for household items, celebrations, stationery and miscellaneous objects.","🧪 Test Tube","https://emojipedia.org/test-tube/","🧪","Test Tube","A test tube, as used to conduct chemical experiments in a laboratory. Depicted as a clear cylinder, open at one end and containing a green liquid. Positioned at a 45° angle.
May be used for various content concerning chemistry and science more generally. May also represent other liquids, such as potions or medicines, as well metaphorical laboratories and experiments.
Some platforms include volume markings or display the liquid as bubbling. WhatsApp’s design features a blue liquid.

Test Tube was approved as part of Unicode 11.0 in 2018
and added to Emoji 11.0 in 2018."
"1573457351-9563","https://emojipedia.org/","🔣 Symbols","https://emojipedia.org/symbols/","🔣
Symbols","Heart emojis, clocks, arrows, signs and shapes.","📳 Vibration Mode","https://emojipedia.org/vibration-mode/","📳","Vibration Mode","An icon representing vibration mode on a mobile phone, indicating that a phone should be switched to silent and/or vibrate mode.
Displayed as a phone with either zig-zag lines or muted-bell icon on most platforms. Early versions of this emoji often used a heart alongside a mobile phone, as commonly seen in Japan.

Vibration Mode was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
"
"1573456765-9319","https://emojipedia.org/","🎌 Flags","https://emojipedia.org/flags/","🎌
Flags","List of country flag emojis. 🇯🇵 🇰🇷 🇩🇪 🇨🇳 🇺🇸 🇫🇷 🇪🇸 🇮🇹 🇷🇺 🇬🇧 Emoji flags are supported on all major platforms except Windows, which displays two-letter country codes instead of emoji flag images.","🇱🇮 Flag: Liechtenstein","https://emojipedia.org/flag-for-liechtenstein/","🇱🇮","🇮 Flag: Liechtenstein","The flag for Liechtenstein, which may show as the letters LI on some platforms.
The Flag: Liechtenstein emoji is a sequence of the 🇱 Regional Indicator Symbol Letter L and 🇮 Regional Indicator Symbol Letter I emojis.
These display as a single emoji on supported platforms.

Flag: Liechtenstein was added to Emoji 1.0 in 2015."
"1573456728-9302","https://emojipedia.org/","🎌 Flags","https://emojipedia.org/flags/","🎌
Flags","List of country flag emojis. 🇯🇵 🇰🇷 🇩🇪 🇨🇳 🇺🇸 🇫🇷 🇪🇸 🇮🇹 🇷🇺 🇬🇧 Emoji flags are supported on all major platforms except Windows, which displays two-letter country codes instead of emoji flag images.","🇲🇲 Flag: Myanmar (Burma)","https://emojipedia.org/flag-for-myanmar/","🇲🇲","🇲 Flag: Myanmar (Burma)","The flag for Myanmar, which may show as the letters MM on some platforms.
The Flag: Myanmar (Burma) emoji is a sequence of the 🇲 Regional Indicator Symbol Letter M and 🇲 Regional Indicator Symbol Letter M emojis.
These display as a single emoji on supported platforms.

Flag: Myanmar (Burma) was added to Emoji 1.0 in 2015."
"1573456767-9320","https://emojipedia.org/","🎌 Flags","https://emojipedia.org/flags/","🎌
Flags","List of country flag emojis. 🇯🇵 🇰🇷 🇩🇪 🇨🇳 🇺🇸 🇫🇷 🇪🇸 🇮🇹 🇷🇺 🇬🇧 Emoji flags are supported on all major platforms except Windows, which displays two-letter country codes instead of emoji flag images.","🇱🇨 Flag: St. Lucia","https://emojipedia.org/flag-for-st-lucia/","🇱🇨","🇨 Flag: St. Lucia","The Flag: St. Lucia emoji is a sequence of the 🇱 Regional Indicator Symbol Letter L and 🇨 Regional Indicator Symbol Letter C emojis.
These display as a single emoji on supported platforms.

Flag: St. Lucia was added to Emoji 1.0 in 2015."
"1573459172-10323","https://emojipedia.org/","🐻 Animals & Nature","https://emojipedia.org/nature/","🐻
Animals & Nature","Emojis for animals, nature, and weather.","🐙 Octopus","https://emojipedia.org/octopus/","🐙","Octopus","An octopus, a sea animal with eight legs, known to change color and release ink. Generally depicted as a pink or orange octopus facing forward, with a large, round head, prominent eyes, and its tentacle-like arms raised at its sides. Platforms vary in the number of arms shown, ranging from four to the full eight, with several designs featuring suckers on them.
Not to be confused with 🦑 Squid, though their applications may overlap.
Twitter’s octopus is purple. Apple’s has a friendly, cartoon-styled appearance. Google and Samsung’s octopuses previously looked surprised, while Microsoft's suggested an 👾 Alien Monster.


Octopus was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573458892-10188","https://emojipedia.org/","🍔 Food & Drink","https://emojipedia.org/food-drink/","🍔
Food & Drink","Emojis for fruit, vegetables, meals, beverages and utensils.","🍳 Cooking","https://emojipedia.org/cooking/","🍳","Cooking","An egg with yolk frying in a skillet, as prepared sunny-side up. Though associated with breakfast, the emoji represents the general action of cooking and related concepts.

Cooking was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573456775-9324","https://emojipedia.org/","🎌 Flags","https://emojipedia.org/flags/","🎌
Flags","List of country flag emojis. 🇯🇵 🇰🇷 🇩🇪 🇨🇳 🇺🇸 🇫🇷 🇪🇸 🇮🇹 🇷🇺 🇬🇧 Emoji flags are supported on all major platforms except Windows, which displays two-letter country codes instead of emoji flag images.","🇰🇾 Flag: Cayman Islands","https://emojipedia.org/flag-for-cayman-islands/","🇰🇾","🇾 Flag: Cayman Islands","The flag for Cayman Islands, which may show as the letters KY on some platforms.
The Flag: Cayman Islands emoji is a sequence of the 🇰 Regional Indicator Symbol Letter K and 🇾 Regional Indicator Symbol Letter Y emojis.
These display as a single emoji on supported platforms.

Flag: Cayman Islands was added to Emoji 1.0 in 2015."
"1573458544-10021","https://emojipedia.org/","🌇 Travel & Places","https://emojipedia.org/travel-places/","🌇
Travel & Places","Emojis for varied scenes, locations, buildings and modes of transport.","🏕 Camping","https://emojipedia.org/camping/","🏕️","️ Camping","A campsite featuring a tent and a tree, and perhaps a campfire. Similar to the tent emoji.

Camping was approved as part of Unicode 7.0 in 2014
and added to Emoji 1.0 in 2015."
"1573457781-9652","https://emojipedia.org/","🔣 Symbols","https://emojipedia.org/symbols/","🔣
Symbols","Heart emojis, clocks, arrows, signs and shapes.","🔈 Speaker Low Volume","https://emojipedia.org/speaker/","🔈","Speaker Low Volume","A speaker cone displayed without any sound waves.

Speaker Low Volume was approved as part of Unicode 6.0 in 2010
under the name “Speaker”
and added to Emoji 1.0 in 2015."
"1573456828-9348","https://emojipedia.org/","🎌 Flags","https://emojipedia.org/flags/","🎌
Flags","List of country flag emojis. 🇯🇵 🇰🇷 🇩🇪 🇨🇳 🇺🇸 🇫🇷 🇪🇸 🇮🇹 🇷🇺 🇬🇧 Emoji flags are supported on all major platforms except Windows, which displays two-letter country codes instead of emoji flag images.","🇮🇨 Flag: Canary Islands","https://emojipedia.org/flag-for-canary-islands/","🇮🇨","🇨 Flag: Canary Islands","The flag for Canary Islands, which may show as the letters IC on some platforms.
The Flag: Canary Islands emoji is a sequence of the 🇮 Regional Indicator Symbol Letter I and 🇨 Regional Indicator Symbol Letter C emojis.
These display as a single emoji on supported platforms.

Flag: Canary Islands was added to Emoji 1.0 in 2015."
"1573458820-10153","https://emojipedia.org/","🍔 Food & Drink","https://emojipedia.org/food-drink/","🍔
Food & Drink","Emojis for fruit, vegetables, meals, beverages and utensils.","🍬 Candy","https://emojipedia.org/candy/","🍬","Candy","A small piece of round, hard sugar candy, as handed out on Halloween, wrapped with two twists on its ends. Candy and wrapper color vary widely by platform. Facebook’s design resembles a classic, unwrapped red-and-white peppermint. May also be called sweets or lollies.

Candy was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573457958-9737","https://emojipedia.org/","💡 Objects","https://emojipedia.org/objects/","💡
Objects","Emojis for household items, celebrations, stationery and miscellaneous objects.","🧬 DNA","https://emojipedia.org/dna-double-helix/","🧬","DNA","The double helix of DNA, the genetic blueprint for life. Color and orientation vary across platforms, but positioned at a 45° angle and in multiple, bright colors to represent the molecule’s spiraling, ladder-like structure.
May be used for various content concerning biology, genetics, and science more generally. May also be used for various content concerning literal or figurative life and evolution.

DNA was approved as part of Unicode 11.0 in 2018
under the name “DNA Double Helix”
and added to Emoji 11.0 in 2018."
"1573459182-10328","https://emojipedia.org/","🐻 Animals & Nature","https://emojipedia.org/nature/","🐻
Animals & Nature","Emojis for animals, nature, and weather.","🐬 Dolphin","https://emojipedia.org/dolphin/","🐬","Dolphin","A dolphin, a sleek marine mammal known to be social and intelligent. Generally depicted as a light-blue dolphin with a white belly in full profile facing left, its short snout curving down to a prominent dorsal fin and tail, as a bottlenose dolphin leaping in the air.
May be used for various content concerning swimming, oceans, beaches, and summer fun. Not be confused with 🦈 Shark.
WhatsApp and Facebook’s dolphins are gray, as Microsoft and Samsung’s previously were.

Dolphin was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573459975-10712","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","😃
Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","😡 Pouting Face","https://emojipedia.org/pouting-face/","😡","Pouting Face","A red face with an angry expression: frowning mouth with eyes and eyebrows scrunched downward. Bears the same expression as 😠 Angry Face on most platforms and may convey more intense degrees of anger, e.g., hate or rage.
Samsung’s design previously featured a yellow face with the anger symbol on its forehead. Microsoft’s design previously featured a yellow face with a more hurt expression.
Not to be confused with 🙎 Person With Pouting Face. This emoji also has a cat variant, 😾 Pouting Cat Face.


Pouting Face was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573457820-9671","https://emojipedia.org/","🔣 Symbols","https://emojipedia.org/symbols/","🔣
Symbols","Heart emojis, clocks, arrows, signs and shapes.","🕖 Seven O’Clock","https://emojipedia.org/clock-face-seven-oclock/","🕖","Seven O’Clock","Seven O’Clock was approved as part of Unicode 6.0 in 2010
under the name “Clock Face Seven O’Clock”
and added to Emoji 1.0 in 2015."
"1573459751-10603","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","😃
Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","🙇 Person Bowing","https://emojipedia.org/person-bowing-deeply/","🙇","Person Bowing","A person bowing deeply which is known as dogeza in Japan. Used to express a sincere apology, or to request a large favour.
Many variations of this emoji are misinterpreted as a person doing push-ups, lying down to have a massage, or doing a cute ""head resting on hands"" gesture.

Person Bowing was approved as part of Unicode 6.0 in 2010
under the name “Person Bowing Deeply”
and added to Emoji 1.0 in 2015."
"1573458454-9977","https://emojipedia.org/","🌇 Travel & Places","https://emojipedia.org/travel-places/","🌇
Travel & Places","Emojis for varied scenes, locations, buildings and modes of transport.","🎡 Ferris Wheel","https://emojipedia.org/ferris-wheel/","🎡","Ferris Wheel","A large rotating wheel, often found at a carnival or fair.

Ferris Wheel was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573459594-10527","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","😃
Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","🧚 Fairy","https://emojipedia.org/fairy/","🧚","Fairy","Fairy was approved as part of Unicode 10.0 in 2017
and added to Emoji 5.0 in 2017."
"1573459298-10384","https://emojipedia.org/","🐻 Animals & Nature","https://emojipedia.org/nature/","🐻
Animals & Nature","Emojis for animals, nature, and weather.","🐄 Cow","https://emojipedia.org/cow/","🐄","Cow","A cow, a bovine farmed for its meat or milk. Depicted in full profile on all fours facing left with a black-and-white patched coat (as a Holstein Friesian) and, on many platforms, a pink udder and horns.
May be used to represent the animal, its food products, or black-and-white coloring. See also 🐮 Cow Face.
Microsoft's cow was previously brown, as was Facebook's, which had a bell around its neck.

Cow was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573459923-10687","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","😃
Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","👋 Waving Hand","https://emojipedia.org/waving-hand-sign/","👋","Waving Hand","A hand waving most commonly used to say “hello” or “goodbye”.
This emoji can be used to convey a sense of not being friends any more when used on WeChat in China.

Waving Hand was approved as part of Unicode 6.0 in 2010
under the name “Waving Hand Sign”
and added to Emoji 1.0 in 2015."
"1573457929-9723","https://emojipedia.org/","💡 Objects","https://emojipedia.org/objects/","💡
Objects","Emojis for household items, celebrations, stationery and miscellaneous objects.","🧹 Broom","https://emojipedia.org/broom/","🧹","Broom","A traditional broom, as used for sweeping—or ridden by a witch. Shown at a 45° angle, with a wooden handle and yellow bristles at the lower left.
Commonly used for various content concerning cleaning, brushing, and figurative sweeps (e.g., in sports or awards). Not to be confused with 🖌️ Paintbrush.

Broom was approved as part of Unicode 11.0 in 2018
and added to Emoji 11.0 in 2018."
"1573459444-10454","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","😃
Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","🗣 Speaking Head","https://emojipedia.org/speaking-head-in-silhouette/","🗣️","️ Speaking Head","The silhouette of a person speaking. Faces left-to-right, with lines demonstrating speech being expelled. Sometimes used in the context of shouting or mansplaining.

Speaking Head was approved as part of Unicode 7.0 in 2014
under the name “Speaking Head in Silhouette”
and added to Emoji 1.0 in 2015."
"1573456662-9272","https://emojipedia.org/","🎌 Flags","https://emojipedia.org/flags/","🎌
Flags","List of country flag emojis. 🇯🇵 🇰🇷 🇩🇪 🇨🇳 🇺🇸 🇫🇷 🇪🇸 🇮🇹 🇷🇺 🇬🇧 Emoji flags are supported on all major platforms except Windows, which displays two-letter country codes instead of emoji flag images.","🇵🇬 Flag: Papua New Guinea","https://emojipedia.org/flag-for-papua-new-guinea/","🇵🇬","🇬 Flag: Papua New Guinea","The flag for Papua New Guinea, which may show as the letters PG on some platforms.
The Flag: Papua New Guinea emoji is a sequence of the 🇵 Regional Indicator Symbol Letter P and 🇬 Regional Indicator Symbol Letter G emojis.
These display as a single emoji on supported platforms.

Flag: Papua New Guinea was added to Emoji 1.0 in 2015."
"1573459335-10402","https://emojipedia.org/","🐻 Animals & Nature","https://emojipedia.org/nature/","🐻
Animals & Nature","Emojis for animals, nature, and weather.","🐩 Poodle","https://emojipedia.org/poodle/","🐩","Poodle","A poodle, a popular dog breed with curly hair, often groomed in an ornamental pattern.
Generally depicted as a grayish-white poodle in full profile on all fours facing left, with a shaved torso, legs, and face with fuller, pom-pom-like hair on its head, ears, chest, feet, and tip of tail (as the Continental Clip).
Like 🐕 Dog, may be used to represent a variety of dog breeds (often fluffy or long-haired). See also 🐶 Dog Face.
With an upturned snout, Google’s poodle bears an endearingly haughty expression.
Google, Samsung, and Facebook’s design previously featured pink poodles.

Poodle was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573459380-10423","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","😃
Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","👑 Crown","https://emojipedia.org/crown/","👑","Crown","A gold crown with jewels on the sides. Representative of a King, Queen, or other form of Royalty.

Crown was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573457047-9433","https://emojipedia.org/","🎌 Flags","https://emojipedia.org/flags/","🎌
Flags","List of country flag emojis. 🇯🇵 🇰🇷 🇩🇪 🇨🇳 🇺🇸 🇫🇷 🇪🇸 🇮🇹 🇷🇺 🇬🇧 Emoji flags are supported on all major platforms except Windows, which displays two-letter country codes instead of emoji flag images.","🇧🇩 Flag: Bangladesh","https://emojipedia.org/flag-for-bangladesh/","🇧🇩","🇩 Flag: Bangladesh","The flag for Bangladesh, which may show as the letters BD on some platforms.
The Flag: Bangladesh emoji is a sequence of the 🇧 Regional Indicator Symbol Letter B and 🇩 Regional Indicator Symbol Letter D emojis.
These display as a single emoji on supported platforms.

Flag: Bangladesh was added to Emoji 1.0 in 2015."
"1573458293-9900","https://emojipedia.org/","💡 Objects","https://emojipedia.org/objects/","💡
Objects","Emojis for household items, celebrations, stationery and miscellaneous objects.","🧭 Compass","https://emojipedia.org/compass/","🧭","Compass","A magnetic compass, as used for navigation. Generally depicted in a silver or gold case with a compass rose and a red-tipped needle. Commonly used for various content concerning traveling and exploring as well as metaphorical compasses (e.g., moral compass).
Google and Facebook’s markings include the initials of the four cardinal directions, north, south, east, and west. Not to be confused with various clock or timepiece emojis.

Compass was approved as part of Unicode 11.0 in 2018
and added to Emoji 11.0 in 2018."
"1573456547-9218","https://emojipedia.org/","🎌 Flags","https://emojipedia.org/flags/","🎌
Flags","List of country flag emojis. 🇯🇵 🇰🇷 🇩🇪 🇨🇳 🇺🇸 🇫🇷 🇪🇸 🇮🇹 🇷🇺 🇬🇧 Emoji flags are supported on all major platforms except Windows, which displays two-letter country codes instead of emoji flag images.","🇹🇿 Flag: Tanzania","https://emojipedia.org/flag-for-tanzania/","🇹🇿","🇿 Flag: Tanzania","The flag for Tanzania, which may show as the letters TZ on some platforms.
The Flag: Tanzania emoji is a sequence of the 🇹 Regional Indicator Symbol Letter T and 🇿 Regional Indicator Symbol Letter Z emojis.
These display as a single emoji on supported platforms.

Flag: Tanzania was added to Emoji 1.0 in 2015."
"1573460129-10785","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","😃
Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","🥰 Smiling Face With Hearts","https://emojipedia.org/smiling-face-with-smiling-eyes-and-three-hearts/","🥰","Smiling Face With Hearts","A yellow face with smiling eyes, a closed smile, rosy cheeks, and several hearts floating around its head. Expresses a range of happy, affectionate feelings, especially being in love. The number of hearts (three or more) varies by platform.
Apple's design features the same expression as its ☺️ Smiling Face.   

Smiling Face With Hearts was approved as part of Unicode 11.0 in 2018
under the name “Smiling Face With Smiling Eyes and Three Hearts”
and added to Emoji 11.0 in 2018."
"1573459349-10409","https://emojipedia.org/","🐻 Animals & Nature","https://emojipedia.org/nature/","🐻
Animals & Nature","Emojis for animals, nature, and weather.","💦 Sweat Droplets","https://emojipedia.org/splashing-sweat-symbol/","💦","Sweat Droplets","Three, light blue droplets, as sweat beads, splashing down to the right. Resembles plewds, stylized sweat droplets used in comics and animation to show characters working hard or feeling stressed.
May be used to represent various types of liquids, including sexual fluids. May also be used to represent various liquid-based slang expressions (e.g., drip, “exceptional style, swagger"").
Not to be confused with 💧 Droplet, though their applications may overlap.
Google, Microsoft, and Samsung's design previously featured two, upwardly directed droplets.

Sweat Droplets was approved as part of Unicode 6.0 in 2010
under the name “Splashing Sweat Symbol”
and added to Emoji 1.0 in 2015."
"1573458949-10216","https://emojipedia.org/","🍔 Food & Drink","https://emojipedia.org/food-drink/","🍔
Food & Drink","Emojis for fruit, vegetables, meals, beverages and utensils.","🥕 Carrot","https://emojipedia.org/carrot/","🥕","Carrot","A whole, bright orange carrot, topped with long green leaves, as if freshly plucked from the garden. Some platforms feature a longer, thinner carrot, others a shorter, more bulbous one.

Carrot was approved as part of Unicode 9.0 in 2016
and added to Emoji 3.0 in 2016."
"1573460009-10728","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","😃
Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","🥺 Pleading Face","https://emojipedia.org/face-with-pleading-eyes/","🥺","Pleading Face","A yellow face with furrowed eyebrows, a small frown, and large, “puppy dog” eyes, as if begging or pleading. May also represent adoration or feeling touched by a loving gesture.

Pleading Face was approved as part of Unicode 11.0 in 2018
under the name “Face With Pleading Eyes”
and added to Emoji 11.0 in 2018."
"1573457038-9429","https://emojipedia.org/","🎌 Flags","https://emojipedia.org/flags/","🎌
Flags","List of country flag emojis. 🇯🇵 🇰🇷 🇩🇪 🇨🇳 🇺🇸 🇫🇷 🇪🇸 🇮🇹 🇷🇺 🇬🇧 Emoji flags are supported on all major platforms except Windows, which displays two-letter country codes instead of emoji flag images.","🇧🇭 Flag: Bahrain","https://emojipedia.org/flag-for-bahrain/","🇧🇭","🇭 Flag: Bahrain","The flag for Bahrain, which may show as the letters BH on some platforms.
The Flag: Bahrain emoji is a sequence of the 🇧 Regional Indicator Symbol Letter B and 🇭 Regional Indicator Symbol Letter H emojis.
These display as a single emoji on supported platforms.

Flag: Bahrain was added to Emoji 1.0 in 2015."
